vehicle_type,OpModeID,meanBaseRate_TotalEnergy_(KJ/hr),meanBaseRate_CO2_(g/hr),meanBaseRate_NOX_(g/hr),meanBaseRate_CO_(g/hr),meanBaseRate_HC_(g/hr),age,
4,24,1290650,94647.66406,52.163746,17.625,3.14224,0,
4,25,1659570,121701.7969,65.187637,18.936399,3.01315,0,
4,27,2292430,168111.5313,88.990791,16.3958,2.90453,0,
4,28,3209400,235356,96.625114,15.6653,2.8484,0,
4,29,4126370,302600.4688,124.231873,20.141199,3.66223,0,
4,30,5043340,369844.9375,151.839264,24.617001,4.47606,0,
4,33,478338,35078.12109,23.858345,14.3135,3.34224,0,
4,35,1462710,107265.3984,58.659328,17.1674,2.94525,0,
4,37,2289400,167889.3281,89.408195,16.2167,2.91956,0,
4,38,3205160,235045.0625,106.278793,13.0578,2.97548,0,
4,39,4120910,302200.0625,136.643982,16.7885,3.82562,0,
4,40,5036670,369355.8125,167.009186,20.5193,4.67576,0,
5,0,217515,15951,16.049465,2.24079,1.41704,0,
5,1,107131,7856,6.339221,3.52628,1.108,0,
5,11,143758,10542,6.3164,6.30832,2.787,0,
5,12,418318,30677,24.632381,7.44982,2.87566,0,
5,13,766213,56189,39.935112,10.7255,3.38632,0,
5,14,1118100,81994,54.494686,12.8012,3.72726,0,
5,15,1413980,103692,61.796806,14.1071,3.16962,0,
5,16,1944920,142627,80.18634,16.7777,3.30562,0,
5,21,115944,8503,4.058484,5.8961,2.54084,0,
5,22,537678,39430,27.198652,13.4878,3.32406,0,
5,23,891734,65394,39.785507,16.2132,3.1925,0,
5,24,1290650,94648,56.333916,17.625,3.14224,0,
5,25,1659570,121702,70.398926,18.936399,3.01315,0,
5,27,2292430,168112,96.105003,16.3958,2.90453,0,
5,28,3209400,235356,104.3498,15.6653,2.8484,0,
5,29,4126370,302600,134.163467,20.141199,3.66223,0,
5,30,5043340,369845,163.978119,24.617001,4.47606,0,
5,33,478338,35078,21.996571,14.3135,3.34224,0,
5,35,1462710,107265,63.348763,17.1674,2.94525,0,
5,37,2289400,167889,96.555801,16.2167,2.91956,0,
5,38,3205160,235045,114.77449,13.0578,2.97548,0,
5,39,4120910,302200,147.567322,16.7885,3.82562,0,
5,40,5036670,369356,180.360153,20.5193,4.67576,0,
