Vehicle Selection Mode,--,Network-wide,--
,,30_35, 0.31
,,35_40, 0.31
,,40_45, 0.31
,,45_50,38.14
,,50_55,42.09
,,55_60,42.61
,,60_65,43.78
,,65_70,43.87
,,70_75,42.78
,,75_80,40.48
,,80_85, 2.39
,,85_90, 0.31
Category,Travel Time Bin (5 min Interval),Avg Speed (mile/hour),
,,0_5, 6.93
,,5_10, 2.47
,,10_15, 1.48
,,15_20, 1.06
,,20_25, 0.82
,,25_30, 0.67
,,30_35, 0.57
,,35_40, 0.49
,,40_45, 0.44
,,45_50,47.58
,,50_55,47.96
,,55_60,44.53
,,60_65,42.09
,,65_70,39.06
,,70_75,35.41
,,75_80,31.31
,,80_85, 1.75
,,85_90, 0.22
Category,Travel Time Bin (5 min Interval),Avg Travel Time Per Mile (min/mile),
,,0_5, 8.66
,,5_10,24.33
,,10_15,40.41
,,15_20,56.77
,,20_25,72.94
,,25_30,89.09
,,30_35,105.43
,,35_40,121.98
,,40_45,135.15
,,45_50,24.80
,,50_55,12.32
,,55_60,11.58
,,60_65, 7.24
,,65_70, 7.49
,,70_75,13.75
,,75_80,27.82
,,80_85,253.80
,,85_90,276.85
Category,Travel Time Bin (5 min Interval),Travel Time Index: mean/FFTT,
,,0_5,127.61
,,5_10,358.53
,,10_15,595.45
,,15_20,836.62
,,20_25,1074.93
,,25_30,1312.84
,,30_35,1553.63
,,35_40,1797.52
,,40_45,1991.69
,,45_50, 1.26
,,50_55, 1.25
,,55_60, 1.35
,,60_65, 1.43
,,65_70, 1.54
,,70_75, 1.70
,,75_80, 1.92
,,80_85,38.78
,,85_90,4079.75
Category,Travel Time Bin (5 min Interval),Avg Travel Time STD (min),
,,0_5, 1.35
,,5_10, 1.44
,,10_15, 1.44
,,15_20, 1.47
,,20_25, 1.44
,,25_30, 1.44
,,30_35, 1.44
,,35_40, 1.50
,,40_45, 1.09
,,45_50, 1.19
,,50_55, 1.47
,,55_60, 1.41
,,60_65, 1.45
,,65_70, 1.42
,,70_75, 1.41
,,75_80, 1.49
,,80_85, 1.45
,,85_90, 0.21
Category,Travel Time Bin (5 min Interval),95th Percentile Travel Time (min),
,,0_5, 4.77
,,5_10, 9.76
,,10_15,14.77
,,15_20,19.74
,,20_25,24.75
,,25_30,29.72
,,30_35,34.74
,,35_40,39.79
,,40_45,43.83
,,45_50,49.82
,,50_55,54.85
,,55_60,59.69
,,60_65,64.71
,,65_70,69.68
,,70_75,74.67
,,75_80,79.86
,,80_85,84.48
,,85_90,85.71
Category,Travel Time Bin (5 min Interval),90th Percentile Travel Time (min),
,,0_5, 4.53
,,5_10, 9.50
,,10_15,14.47
,,15_20,19.52
,,20_25,24.49
,,25_30,29.48
,,30_35,34.52
,,35_40,39.65
,,40_45,43.15
,,45_50,49.68
,,50_55,54.55
,,55_60,59.46
,,60_65,64.45
,,65_70,69.45
,,70_75,74.39
,,75_80,79.63
,,80_85,84.07
,,85_90,85.63
Category,Travel Time Bin (5 min Interval),80th Percentile Travel Time (min),
,,0_5, 4.07
,,5_10, 9.01
,,10_15,13.96
,,15_20,19.04
,,20_25,24.01
,,25_30,28.91
,,30_35,34.01
,,35_40,39.21
,,40_45,42.38
,,45_50,49.33
,,50_55,54.13
,,55_60,58.89
,,60_65,63.91
,,65_70,68.88
,,70_75,73.91
,,75_80,79.20
,,80_85,83.39
,,85_90,85.56
Category,Travel Time Bin (5 min Interval),Planning Time Index: 95th percentile/FFTT,
,,0_5,227.98
,,5_10,466.47
,,10_15,706.16
,,15_20,943.69
,,20_25,1182.90
,,25_30,1420.20
,,30_35,1660.36
,,35_40,1901.96
,,40_45,2094.58
,,45_50, 1.31
,,50_55, 1.31
,,55_60, 1.40
,,60_65, 1.48
,,65_70, 1.59
,,70_75, 1.75
,,75_80, 1.98
,,80_85,39.97
,,85_90,4096.43
Category,Travel Time Bin (5 min Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_5, 0.79
,,5_10, 0.30
,,10_15, 0.19
,,15_20, 0.13
,,20_25, 0.10
,,25_30, 0.08
,,30_35, 0.07
,,35_40, 0.06
,,40_45, 0.05
,,45_50, 0.04
,,50_55, 0.04
,,55_60, 0.04
,,60_65, 0.04
,,65_70, 0.03
,,70_75, 0.03
,,75_80, 0.03
,,80_85, 0.03
Category,Travel Time Bin (5 min Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_5, 0.99
,,5_10, 1.00
,,10_15, 1.00
,,15_20, 0.99
,,20_25, 1.03
,,25_30, 1.00
,,30_35, 1.02
,,35_40, 0.99
,,40_45, 1.06
,,45_50, 0.99
,,50_55, 0.76
,,55_60, 1.19
,,60_65, 1.07
,,65_70, 1.25
,,70_75, 0.94
,,75_80, 0.95
,,80_85, 1.25
,,85_90, 0.84
Category,Travel Time Bin (5 min Interval),Travel Time Per Mile STD (min/mile),
,,0_5, 4.36
,,5_10, 4.69
,,10_15, 4.69
,,15_20, 4.76
,,20_25, 4.68
,,25_30, 4.65
,,30_35, 4.68
,,35_40, 4.85
,,40_45, 3.53
,,45_50,55.34
,,50_55,41.60
,,55_60,42.52
,,60_65,33.65
,,65_70,35.68
,,70_75,51.97
,,75_80,77.01
,,80_85,55.85
,,85_90, 0.68
Category,Travel Time Bin (5 min Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_5,15.47
,,5_10,31.65
,,10_15,47.92
,,15_20,64.04
,,20_25,80.27
,,25_30,96.37
,,30_35,112.67
,,35_40,129.06
,,40_45,142.14
,,45_50,157.33
,,50_55,163.86
,,55_60,181.26
,,60_65, 1.44
,,65_70, 1.55
,,70_75,229.10
,,75_80,256.17
,,80_85,273.99
,,85_90,277.98
Category,Travel Time Bin (5 min Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_5,14.71
,,5_10,30.81
,,10_15,46.93
,,15_20,63.32
,,20_25,79.43
,,25_30,95.61
,,30_35,111.96
,,35_40,128.59
,,40_45,139.96
,,45_50,151.14
,,50_55, 1.22
,,55_60, 1.32
,,60_65, 1.43
,,65_70, 1.54
,,70_75, 1.66
,,75_80,246.45
,,80_85,272.66
,,85_90,277.72
Category,Travel Time Bin (5 min Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_5,13.20
,,5_10,29.21
,,10_15,45.28
,,15_20,61.75
,,20_25,77.85
,,25_30,93.78
,,30_35,110.30
,,35_40,127.18
,,40_45,137.43
,,45_50, 1.10
,,50_55, 1.21
,,55_60, 1.31
,,60_65, 1.42
,,65_70, 1.53
,,70_75, 1.64
,,75_80, 1.76
,,80_85,270.44
,,85_90,277.49
Category,Travel Time Bin (5 min Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_5,678.17
,,5_10,2047.94
,,10_15,3214.34
,,15_20,4306.16
,,20_25,5600.20
,,25_30,6894.63
,,30_35,7964.15
,,35_40,9590.49
,,40_45,10501.44
,,45_50,9281.45
,,50_55,16482.04
,,55_60,15500.38
,,60_65,14854.14
,,65_70,14690.70
,,70_75,13989.91
,,75_80,15048.86
,,80_85,7048.05
,,85_90,1024.33
Category,Travel Time Bin (5 min Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_5, 2.67
,,5_10, 7.50
,,10_15,12.46
,,15_20,17.50
,,20_25,22.49
,,25_30,27.47
,,30_35,32.51
,,35_40,37.61
,,40_45,41.67
,,45_50,48.09
,,50_55,52.66
,,55_60,57.41
,,60_65,62.41
,,65_70,67.39
,,70_75,72.49
,,75_80,77.57
,,80_85,81.95
,,85_90,85.36
Category,Travel Time Bin (5 min Interval),Avg Miles per Gallon,
,,0_5,78.32
,,5_10,84.18
,,10_15,79.55
,,15_20,75.85
,,20_25,76.78
,,25_30,77.39
,,30_35,75.54
,,35_40,78.63
,,40_45,77.70
,,45_50,7360.55
,,50_55,13175.65
,,55_60,11505.11
,,60_65,10420.25
,,65_70,9563.05
,,70_75,8256.40
,,75_80,7853.58
,,80_85,205.68
,,85_90, 3.70
