Vehicle Selection Mode,--,Network-wide,--
Category,4-hour Departure Time Interval,Total Travel Time (min),158717.44
Category,4-hour Departure Time Interval,Total Travel Distance (mile),69049.00
Category,4-hour Departure Time Interval,Avg Travel Time (min),39.68
Category,4-hour Departure Time Interval,Avg Travel Distance (mile),17.26
Category,4-hour Departure Time Interval,Avg Speed (mile/hour),26.10
Category,4-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),53.27
Category,4-hour Departure Time Interval,Travel Time Index: mean/FFTT, 2.33
Category,4-hour Departure Time Interval,Avg Travel Time STD (min),23.36
Category,4-hour Departure Time Interval,95th Percentile Travel Time (min),77.47
Category,4-hour Departure Time Interval,90th Percentile Travel Time (min),72.18
Category,4-hour Departure Time Interval,80th Percentile Travel Time (min),62.85
Category,4-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT, 4.54
Category,4-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean, 0.95
Category,4-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile), 1.02
Category,4-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),62.27
Category,4-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),147.52
Category,4-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),132.13
Category,4-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),107.56
Category,4-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),158717.44
Category,4-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),39.68
Category,4-hour Departure Time Interval,Avg Miles per Gallon,69049.00
Category,Distance Bin (0.2 ml Interval),Number of Vehicles,
,,0.2_0.4,2486.00
,,45.0_45.2,1514.00
Category,Distance Bin (0.2 ml Interval),Cumulative Number of Vehicles,
,,0.2_0.4,2486.00
,,45.0_45.2,4000.00
Category,Distance Bin (0.2 ml Interval),Total Travel Time (min),
,,0.2_0.4,65058.25
,,45.0_45.2,93658.95
Category,Distance Bin (0.2 ml Interval),Total Travel Distance (mile),
,,0.2_0.4,766.52
,,45.0_45.2,68282.43
Category,Distance Bin (0.2 ml Interval),Avg Travel Time (min),
,,0.2_0.4,26.17
,,45.0_45.2,61.86
Category,Distance Bin (0.2 ml Interval),Avg Travel Distance (mile),
,,0.2_0.4, 0.31
,,45.0_45.2,45.10
Category,Distance Bin (0.2 ml Interval),Avg Speed (mile/hour),
,,0.2_0.4, 0.71
,,45.0_45.2,43.74
Category,Distance Bin (0.2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0.2_0.4,84.88
,,45.0_45.2, 1.37
Category,Distance Bin (0.2 ml Interval),Travel Time Index: mean/FFTT,
,,0.2_0.4,1250.75
,,45.0_45.2, 1.37
Category,Distance Bin (0.2 ml Interval),Avg Travel Time STD (min),
,,0.2_0.4,18.50
,,45.0_45.2, 9.39
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time (min),
,,0.2_0.4,69.87
,,45.0_45.2,77.84
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time (min),
,,0.2_0.4,42.49
,,45.0_45.2,75.69
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time (min),
,,0.2_0.4,39.39
,,45.0_45.2,71.60
Category,Distance Bin (0.2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0.2_0.4,3339.32
,,45.0_45.2, 1.73
Category,Distance Bin (0.2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0.2_0.4, 1.67
,,45.0_45.2, 0.26
Category,Distance Bin (0.2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0.2_0.4, 0.94
,,45.0_45.2, 1.32
Category,Distance Bin (0.2 ml Interval),Travel Time Per Mile STD (min/mile),
,,0.2_0.4,60.00
,,45.0_45.2, 0.21
Category,Distance Bin (0.2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4,226.61
,,45.0_45.2, 1.73
Category,Distance Bin (0.2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4,137.81
,,45.0_45.2, 1.68
Category,Distance Bin (0.2 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0.2_0.4,127.77
,,45.0_45.2, 1.59
Category,Distance Bin (0.2 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0.2_0.4,65058.25
,,45.0_45.2,93658.95
Category,Distance Bin (0.2 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0.2_0.4,26.17
,,45.0_45.2,61.86
Category,Distance Bin (0.2 ml Interval),Avg Miles per Gallon,
,,0.2_0.4,766.52
,,45.0_45.2,68282.43
Category,Distance Bin (1 ml Interval),Number of Vehicles,
,,0_1,2486.00
,,45_46,1514.00
Category,Distance Bin (1 ml Interval),Cumulative Number of Vehicles,
,,0_1,2486.00
,,45_46,4000.00
Category,Distance Bin (1 ml Interval),Total Travel Time (min),
,,0_1,65058.25
,,45_46,93658.95
Category,Distance Bin (1 ml Interval),Total Travel Distance (mile),
,,0_1,766.52
,,45_46,68282.43
Category,Distance Bin (1 ml Interval),Avg Travel Time (min),
,,0_1,26.17
,,45_46,61.86
Category,Distance Bin (1 ml Interval),Avg Travel Distance (mile),
,,0_1, 0.31
,,45_46,45.10
Category,Distance Bin (1 ml Interval),Avg Speed (mile/hour),
,,0_1, 0.71
,,45_46,43.74
Category,Distance Bin (1 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_1,84.88
,,45_46, 1.37
Category,Distance Bin (1 ml Interval),Travel Time Index: mean/FFTT,
,,0_1,1250.75
,,45_46, 1.37
Category,Distance Bin (1 ml Interval),Avg Travel Time STD (min),
,,0_1,18.50
,,45_46, 9.39
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time (min),
,,0_1,69.87
,,45_46,77.84
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time (min),
,,0_1,42.49
,,45_46,75.69
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time (min),
,,0_1,39.39
,,45_46,71.60
Category,Distance Bin (1 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_1,3339.32
,,45_46, 1.73
Category,Distance Bin (1 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_1, 1.67
,,45_46, 0.26
Category,Distance Bin (1 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_1, 0.94
,,45_46, 1.32
Category,Distance Bin (1 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_1,60.00
,,45_46, 0.21
Category,Distance Bin (1 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_1,226.61
,,45_46, 1.73
Category,Distance Bin (1 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_1,137.81
,,45_46, 1.68
Category,Distance Bin (1 ml Interval),80th Percentile Travel Time Per Mile (min/mile),
,,0_1,127.77
,,45_46, 1.59
Category,Distance Bin (1 ml Interval),Total Generalized Time:TT+Toll/VOT (min),
,,0_1,65058.25
,,45_46,93658.95
Category,Distance Bin (1 ml Interval),Avg Generalized Travel Time:TT+Toll/VOT (min),
,,0_1,26.17
,,45_46,61.86
Category,Distance Bin (1 ml Interval),Avg Miles per Gallon,
,,0_1,766.52
,,45_46,68282.43
Category,Distance Bin (2 ml Interval),Number of Vehicles,
,,0_2,2486.00
,,44_46,1514.00
Category,Distance Bin (2 ml Interval),Cumulative Number of Vehicles,
,,0_2,2486.00
,,44_46,4000.00
Category,Distance Bin (2 ml Interval),Total Travel Time (min),
,,0_2,65058.25
,,44_46,93658.95
Category,Distance Bin (2 ml Interval),Total Travel Distance (mile),
,,0_2,766.52
,,44_46,68282.43
Category,Distance Bin (2 ml Interval),Avg Travel Time (min),
,,0_2,26.17
,,44_46,61.86
Category,Distance Bin (2 ml Interval),Avg Travel Distance (mile),
,,0_2, 0.31
,,44_46,45.10
Category,Distance Bin (2 ml Interval),Avg Speed (mile/hour),
,,0_2, 0.71
,,44_46,43.74
Category,Distance Bin (2 ml Interval),Avg Travel Time Per Mile (min/mile),
,,0_2,84.88
,,44_46, 1.37
Category,Distance Bin (2 ml Interval),Travel Time Index: mean/FFTT,
,,0_2,1250.75
,,44_46, 1.37
Category,Distance Bin (2 ml Interval),Avg Travel Time STD (min),
,,0_2,18.50
,,44_46, 9.39
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time (min),
,,0_2,69.87
,,44_46,77.84
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time (min),
,,0_2,42.49
,,44_46,75.69
Category,Distance Bin (2 ml Interval),80th Percentile Travel Time (min),
,,0_2,39.39
,,44_46,71.60
Category,Distance Bin (2 ml Interval),Planning Time Index: 95th percentile/FFTT,
,,0_2,3339.32
,,44_46, 1.73
Category,Distance Bin (2 ml Interval),Buffer Index: (95th percentile - mean)/mean,
,,0_2, 1.67
,,44_46, 0.26
Category,Distance Bin (2 ml Interval),Skew Index: (90th %ile-median)/(median-10th %ile),
,,0_2, 0.94
,,44_46, 1.32
Category,Distance Bin (2 ml Interval),Travel Time Per Mile STD (min/mile),
,,0_2,60.00
,,44_46, 0.21
Category,Distance Bin (2 ml Interval),95th Percentile Travel Time Per Mile (min/mile),
,,0_2,226.61
,,44_46, 1.73
Category,Distance Bin (2 ml Interval),90th Percentile Travel Time Per Mile (min/mile),
,,0_2,137.81
,,44_46, 1.68
