zone_id,geometry
40,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.978017,40.705157,0.0 -111.977762,40.705669,0.0 -111.977296,40.707363,0.0 -111.975060,40.707362,0.0 -111.975432,40.705157,0.0 -111.978017,40.705157,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
41,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.980195,40.703895,0.0 -111.979752,40.707481,0.0 -111.977296,40.707363,0.0 -111.977762,40.705669,0.0 -111.977702,40.701725,0.0 -111.980195,40.703895,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
42,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.988305,40.705114,0.0 -111.988266,40.705154,0.0 -111.988152,40.707259,0.0 -111.984767,40.707391,0.0 -111.984621,40.705120,0.0 -111.988305,40.705114,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
43,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.994922,40.705097,0.0 -111.994935,40.705106,0.0 -111.995192,40.706718,0.0 -111.994525,40.707360,0.0 -111.992068,40.707243,0.0 -111.992453,40.705097,0.0 -111.994922,40.705097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
44,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-111.997429,40.705047,0.0 -111.997416,40.705076,0.0 -111.997635,40.706757,0.0 -111.996773,40.707233,0.0 -111.995376,40.707121,0.0 -111.994935,40.705106,0.0 -111.997429,40.705047,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
45,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.006759,40.704918,0.0 -112.006720,40.704928,0.0 -112.006694,40.706532,0.0 -112.006012,40.707016,0.0 -112.004188,40.706749,0.0 -112.003808,40.706052,0.0 -112.004640,40.704927,0.0 -112.006759,40.704918,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
46,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.025964,40.704873,0.0 -112.025951,40.704883,0.0 -112.025957,40.707224,0.0 -112.023979,40.707243,0.0 -112.022915,40.706667,0.0 -112.023367,40.704905,0.0 -112.024880,40.704915,0.0 -112.025964,40.704873,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
47,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.037197,40.698557,0.0 -112.037210,40.698537,0.0 -112.037059,40.696527,0.0 -112.037048,40.694407,0.0 -112.037343,40.694150,0.0 -112.037961,40.693803,0.0 -112.039163,40.693827,0.0 -112.039619,40.695881,0.0 -112.039432,40.698360,0.0 -112.038842,40.698923,0.0 -112.037197,40.698557,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
48,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.023856,40.686254,0.0 -112.023908,40.686254,0.0 -112.022517,40.685158,0.0 -112.022175,40.684294,0.0 -112.023618,40.683796,0.0 -112.025803,40.683934,0.0 -112.026468,40.684767,0.0 -112.026014,40.686244,0.0 -112.024775,40.686278,0.0 -112.023856,40.686254,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
49,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-112.016350,40.686327,0.0 -112.016363,40.686326,0.0 -112.015261,40.686349,0.0 -112.015166,40.686600,0.0 -112.014310,40.686581,0.0 -112.013727,40.686279,0.0 -112.013581,40.685739,0.0 -112.013392,40.684785,0.0 -112.014186,40.683739,0.0 -112.015870,40.684381,0.0 -112.016626,40.685253,0.0 -112.016350,40.686327,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
