agent_id,tour_id,from_zone_id,to_zone_id,from_origin_node_id,to_destination_node_id,departure_time_in_min,end_time_in_min,travel_time_in_min,demand_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
125,125,2,14,11123,5037,932.79,937.40,4.61,1,1,10.00,1,10,2.66,
126,126,27,11,1346,5119,932.79,937.80,5.01,1,1,10.00,1,10,2.58,
127,127,3,31,11159,1318,932.79,934.20,1.41,1,1,10.00,1,15,0.71,
128,128,3,14,11159,5037,932.82,939.30,6.48,1,1,10.00,1,0,3.77,
129,129,27,41,1346,5578,932.86,938.20,5.34,1,1,10.00,1,15,3.44,
130,130,26,22,1323,3689,932.86,937.20,4.34,1,1,10.00,1,0,2.16,
131,131,17,21,1289,6253,932.93,943.00,10.07,1,1,10.00,1,0,5.89,
132,132,32,41,1285,5578,932.93,935.00,2.07,1,1,10.00,1,5,1.18,
133,133,32,11,1285,5119,932.93,941.00,8.07,1,1,10.00,1,15,4.32,
134,134,2,36,11123,1299,932.95,937.40,4.45,1,1,10.00,1,15,2.28,
135,135,41,26,5578,1323,932.96,938.30,5.34,1,1,10.00,1,0,3.24,
136,136,6,14,5238,5037,933.00,944.10,11.10,1,1,10.00,1,5,5.91,
137,137,3,22,11159,3689,933.00,938.90,5.90,1,1,10.00,1,5,3.02,
138,138,3,16,11159,11827,933.00,938.10,5.10,1,1,10.00,1,5,3.45,
139,139,2,21,11123,6253,933.00,942.00,9.00,1,1,10.00,1,10,5.39,
140,140,3,19,11159,1352,933.00,936.20,3.20,1,1,10.00,1,15,1.87,
141,141,34,24,1320,1325,933.00,938.10,5.10,1,1,10.00,1,15,2.35,
142,142,3,21,11159,6253,933.04,939.90,6.86,1,1,10.00,1,15,3.88,
143,143,13,1,5034,5577,933.07,938.10,5.03,1,1,10.00,1,0,2.85,
144,144,34,9,1320,5356,933.08,939.40,6.32,1,1,10.00,1,10,3.07,
145,145,37,26,1349,1323,933.09,935.00,1.91,1,1,10.00,1,10,0.86,
146,146,9,2,5356,11123,933.18,942.50,9.32,1,1,10.00,1,10,4.73,
147,147,39,16,1404,11827,933.22,942.60,9.38,1,1,10.00,1,15,4.71,
148,148,37,5,1349,11282,933.22,935.90,2.68,1,1,10.00,1,15,1.51,
149,149,17,7,1289,11281,933.23,941.50,8.27,1,1,10.00,1,15,4.96,
150,150,31,9,8116,5356,933.24,940.60,7.36,1,1,10.00,1,0,3.54,
151,151,18,41,1286,5578,933.24,935.70,2.46,1,1,10.00,1,5,1.15,
152,152,31,24,8116,1325,933.24,939.40,6.16,1,1,10.00,1,10,2.82,
153,153,18,11,1286,5119,933.24,942.60,9.36,1,1,10.00,1,5,4.37,
154,154,6,21,5238,6253,933.24,937.60,4.36,1,1,10.00,1,15,2.51,
155,155,28,5,1359,11282,933.26,939.20,5.94,1,1,10.00,1,5,3.02,
156,156,14,19,5037,1352,933.28,942.60,9.32,1,1,10.00,1,5,5.12,
157,157,4,22,11180,3689,933.29,938.60,5.31,1,1,10.00,1,0,2.40,
158,158,5,2,11282,11123,933.29,940.20,6.91,1,1,10.00,1,5,3.79,
159,159,4,31,11180,8002,933.33,936.70,3.37,1,1,10.00,1,15,1.76,
160,160,5,9,11282,5356,933.33,937.70,4.37,1,1,10.00,1,10,2.38,
161,161,17,34,1289,1320,933.33,935.40,2.07,1,1,10.00,1,10,0.71,
162,162,5,24,11282,1325,933.33,942.50,9.17,1,1,10.00,1,10,4.40,
163,163,37,9,1353,5356,933.33,938.80,5.47,1,1,10.00,1,10,2.33,
164,164,37,24,1353,1325,933.33,938.60,5.27,1,1,10.00,1,10,2.38,
165,165,28,16,1359,11827,933.38,941.30,7.92,1,1,10.00,1,10,4.01,
166,166,16,37,11827,1353,933.38,939.90,6.52,1,1,10.00,1,15,3.68,
167,167,15,36,4899,1299,933.38,934.80,1.42,1,1,10.00,1,15,0.65,
168,168,18,28,1286,1359,933.40,945.40,12.00,1,1,10.00,1,5,5.30,
169,169,17,13,1289,5034,933.43,937.70,4.27,1,1,10.00,1,0,2.15,
170,170,2,13,11123,5034,933.43,937.10,3.67,1,1,10.00,1,0,2.17,
171,171,2,34,11123,1322,933.43,934.60,1.17,1,1,10.00,1,5,0.63,
172,172,3,34,11159,1322,933.48,934.50,1.02,1,1,10.00,1,5,0.59,
173,173,17,11,1289,5119,933.48,942.10,8.62,1,1,10.00,1,10,4.34,
174,174,3,13,11159,5034,933.48,939.10,5.62,1,1,10.00,1,5,3.27,
175,175,2,11,11123,5119,933.48,940.60,7.12,1,1,10.00,1,15,3.84,
176,176,16,9,11827,5356,933.49,943.50,10.01,1,1,10.00,1,5,5.02,
177,177,3,24,11159,1325,933.50,938.80,5.30,1,1,10.00,1,0,2.63,
178,178,21,37,6253,1353,933.53,938.60,5.07,1,1,10.00,1,15,2.50,
179,179,1,9,5577,5356,933.53,945.00,11.47,1,1,10.00,1,5,5.79,
180,180,9,11,5356,5119,933.53,937.30,3.77,1,1,10.00,1,5,1.86,
181,181,11,24,5119,1325,933.53,935.10,1.57,1,1,10.00,1,0,0.63,
182,182,41,9,5578,5356,933.53,945.80,12.27,1,1,10.00,1,10,6.04,
183,183,2,41,11123,5578,933.53,936.20,2.67,1,1,10.00,1,5,1.70,
184,184,41,24,5578,1325,933.53,942.20,8.67,1,1,10.00,1,5,4.27,
185,185,1,24,5577,1325,933.53,941.80,8.27,1,1,10.00,1,10,4.02,
186,186,11,9,5119,5356,933.53,937.50,3.97,1,1,10.00,1,10,1.70,
187,187,3,9,11159,5356,933.53,940.20,6.67,1,1,10.00,1,5,3.35,
188,188,3,11,11159,5119,933.53,938.20,4.67,1,1,10.00,1,0,2.34,
189,189,7,24,11281,1325,933.53,941.40,7.87,1,1,10.00,1,0,3.82,
190,190,17,41,1289,5578,933.53,935.80,2.27,1,1,10.00,1,15,1.21,
191,191,7,9,11281,5356,933.53,937.60,4.07,1,1,10.00,1,5,2.06,
192,192,27,10,1348,5929,933.53,939.80,6.27,1,1,10.00,1,10,2.78,
193,193,3,41,11159,5578,933.56,938.50,4.94,1,1,10.00,1,10,3.20,
194,194,28,19,1359,1352,933.58,939.30,5.72,1,1,10.00,1,5,2.40,
195,195,34,14,1322,5037,933.64,937.50,3.86,1,1,10.00,1,0,2.14,
196,196,3,37,11159,1353,933.64,935.40,1.76,1,1,10.00,1,0,0.74,
197,197,9,41,5356,5578,933.64,945.00,11.36,1,1,10.00,1,0,5.91,
198,198,27,24,1348,1325,933.64,939.70,6.06,1,1,10.00,1,15,2.87,
199,199,3,28,11159,1359,933.64,938.40,4.76,1,1,10.00,1,10,2.34,
200,200,14,37,5037,1349,933.64,941.20,7.56,1,1,10.00,1,0,4.00,
201,201,38,27,1397,1346,933.65,938.10,4.45,1,1,10.00,1,15,2.09,
202,202,3,4,11159,11180,933.67,936.80,3.13,1,1,10.00,1,0,1.57,
203,203,27,9,1346,5356,933.75,940.00,6.25,1,1,10.00,1,10,3.38,
204,204,6,13,5238,5034,933.75,943.70,9.95,1,1,10.00,1,15,5.42,
205,205,3,15,11159,4899,933.75,940.60,6.85,1,1,10.00,1,15,3.76,
206,206,6,34,5238,1319,933.75,939.10,5.35,1,1,10.00,1,0,2.73,
207,207,3,1,11159,5577,933.75,938.30,4.55,1,1,10.00,1,10,2.95,
208,208,3,17,11159,1289,933.75,938.40,4.65,1,1,10.00,1,15,2.52,
209,209,26,16,1323,11827,933.76,938.90,5.14,1,1,10.00,1,15,2.59,
210,210,17,35,1289,1290,933.80,935.20,1.40,1,1,10.00,1,5,0.49,
211,211,6,11,5238,5119,933.81,943.00,9.19,1,1,10.00,1,10,4.48,
212,212,35,2,1290,11123,933.84,936.80,2.96,1,1,10.00,1,5,1.52,
213,213,32,9,1285,5356,933.87,944.90,11.03,1,1,10.00,1,5,5.33,
214,214,31,14,1316,5037,933.87,938.90,5.03,1,1,10.00,1,0,2.54,
215,215,3,18,11159,1286,933.87,940.10,6.23,1,1,10.00,1,0,3.48,
216,216,34,21,1319,6253,933.87,940.80,6.93,1,1,10.00,1,5,3.96,
217,217,1,3,5577,11159,933.87,938.60,4.73,1,1,10.00,1,0,2.95,
218,218,6,41,5238,5578,933.87,943.10,9.23,1,1,10.00,1,15,5.34,
219,219,32,24,1285,1325,933.87,942.30,8.43,1,1,10.00,1,0,3.82,
220,220,37,40,1349,1296,933.88,940.60,6.72,1,1,10.00,1,5,3.46,
221,221,33,22,1351,3689,933.93,939.80,5.87,1,1,10.00,1,0,2.90,
222,222,1,11,5577,5119,933.96,943.70,9.74,1,1,10.00,1,15,4.77,
223,223,20,19,1356,1352,933.99,935.50,1.51,1,1,10.00,1,0,0.52,
224,224,3,20,11159,1356,934.00,938.80,4.80,1,1,10.00,1,15,2.36,
225,225,12,11,11151,5119,934.00,938.10,4.10,1,1,10.00,1,15,1.75,
226,226,37,14,1349,5037,934.00,941.70,7.70,1,1,10.00,1,10,4.00,
227,227,5,14,11282,5037,934.00,944.20,10.20,1,1,10.00,1,10,5.54,
228,228,1,41,5577,5578,934.00,935.10,1.10,1,1,10.00,1,5,0.62,
229,229,12,41,11151,5578,934.00,939.80,5.80,1,1,10.00,1,5,3.22,
230,230,17,33,1289,1351,934.05,940.80,6.75,1,1,10.00,1,0,3.87,
231,231,41,2,5578,11123,934.06,936.60,2.54,1,1,10.00,1,5,1.70,
232,232,37,6,1349,5238,934.11,937.40,3.29,1,1,10.00,1,15,1.88,
233,233,28,11,1359,5119,934.14,936.00,1.86,1,1,10.00,1,0,0.97,
234,234,3,38,11159,1397,934.14,939.60,5.46,1,1,10.00,1,15,2.84,
